Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ,OT,Throughput
2020.02.13_13.59.47,-8.394564,51.886198,0,B,11,5G,-103,-14,-3,14,-103,19395,74,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-14,19469,19469
2020.02.13_13.59.48,-8.394564,51.886198,0,B,11,5G,-102,-12,1,12,-101,20195,76,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-101,-12,20271,20271
2020.02.13_13.59.49,-8.394564,51.886198,0,B,11,5G,-102,-12,1,12,-103,20093,77,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-101,-12,20170,20170
2020.02.13_13.59.51,-8.394564,51.886198,0,B,11,5G,-102,-11,-8,14,-103,15779,66,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-13,15845,15845
2020.02.13_13.59.52,-8.394564,51.886198,0,B,11,5G,-102,-11,-8,14,-101,1,1,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-13,2,2
2020.02.13_13.59.52,-8.394564,51.886198,0,B,11,5G,-102,-11,-8,14,-101,1,1,D,74,72,77,2,0,B,A4DF,9CBA,10805003,-102,-13,2,2
2020.02.13_13.59.53,-8.394564,51.886198,0,B,11,5G,-103,-12,-3,11,-103,9044,141,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-12,9185,9185
2020.02.13_13.59.54,-8.394564,51.886198,0,B,11,5G,-103,-12,-3,11,-103,19232,66,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-12,19298,19298
2020.02.13_13.59.55,-8.394564,51.886198,0,B,11,5G,-103,-13,-4,12,-103,19518,70,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-18,19588,19588
2020.02.13_13.59.56,-8.394564,51.886198,0,B,11,5G,-103,-13,-4,12,-103,17855,62,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-18,17917,17917
2020.02.13_13.59.58,-8.394564,51.886198,0,B,11,5G,-102,-11,8,11,-103,19535,62,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-12,19597,19597
2020.02.13_13.59.59,-8.394564,51.886198,0,B,11,5G,-102,-11,8,11,-103,84213,240,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-12,84453,84453
2020.02.13_14.00.00,-8.394564,51.886198,0,B,11,5G,-101,-12,0,14,-103,192400,218,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-17,192618,192618
2020.02.13_14.00.01,-8.394564,51.886198,0,B,11,5G,-101,-12,0,14,-103,205478,188,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-17,205666,205666
